student_name,question_number,question_text,answer,weighted_score,grade
Mahasiswa 1,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat sistem pendeteksi hujan otomatis untuk jemuran. Masalah utama yang ingin saya selesaikan adalah pakaian yang basah karena hujan. Tujuan proyek ini adalah agar pakaian yang dijemur tetap kering meskipun hujan.,3.0,B
Mahasiswa 1,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor hujan, alarm sensor. Arduino dipilih karena mudah diprogram dan murah. Sensor hujan untuk mendeteksi hujan, dan alarm untuk memberi peringatan.",2.0,C
Mahasiswa 1,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),"Membantu orang untuk menjemur pakaian tanpa khawatir hujan, menghemat waktu dan tenaga.",1.1,D
Mahasiswa 1,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merancang sistem dengan Arduino dan sensor hujan, sudah membuat prototipe yang berfungsi.",1.1,D
Mahasiswa 1,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambahkan sensor tambahan untuk meningkatkan akurasi.,1.1,D
Mahasiswa 1,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah kesulitan menjemur pakaian saat hujan. Masalah penelitian: Bagaimana mendeteksi hujan secara otomatis. Tujuan: Membuat sistem otomatis yang bisa memantau hujan. Metode: Arduino dengan sensor hujan.,2.2,C
Mahasiswa 1,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat meningkatkan teknologi rumah tangga pintar untuk otomatisasi yang lebih baik.,1.1,D
Mahasiswa 1,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Membuat sistem pendeteksi hujan otomatis untuk jemuran. Masalah utama yang ingin saya selesaikan adalah pakaian yang basah karena hujan. Tujuan proyek ini adalah agar pakaian yang dijemur tetap kering meskipun hujan.,3.0,B
Mahasiswa 1,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Arduino, sensor hujan, alarm sensor. Arduino dipilih karena mudah diprogram dan murah. Sensor hujan untuk mendeteksi hujan, dan alarm untuk memberi peringatan.",2.0,C
Mahasiswa 1,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),"Membantu orang untuk menjemur pakaian tanpa khawatir hujan, menghemat waktu dan tenaga.",1.1,D
Mahasiswa 1,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Merancang sistem dengan Arduino dan sensor hujan, sudah membuat prototipe yang berfungsi.",1.1,D
Mahasiswa 1,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambahkan sensor tambahan untuk meningkatkan akurasi.,1.1,D
Mahasiswa 1,6,"1.	Tulislah Konsep kerangka proposal penelitian dari capstone project kamu yang mencakup:
1.	Latar belakang masalah
2.	Masalah penelitian (rumusan masalah)
3.	Tujuan penelitian
4.	Cara atau metode yang akan kamu gunakan 
(20 poin)",Latar belakang masalah adalah kesulitan menjemur pakaian saat hujan. Masalah penelitian: Bagaimana mendeteksi hujan secara otomatis. Tujuan: Membuat sistem otomatis yang bisa memantau hujan. Metode: Arduino dengan sensor hujan.,2.2,C
Mahasiswa 1,7,2.	Jelaskan bagaimana proposal penelitianmu bisa membantu mengembangkan ilmu pengetahuan atau teknologi di bidangmu. (10 poin),Penelitian ini dapat meningkatkan teknologi rumah tangga pintar untuk otomatisasi yang lebih baik.,1.1,D
Mahasiswa 2,1,1.	Jelaskan singkat tentang topik capstone project yang sedang kamu kerjakan. Apa masalah utama yang ingin kamu selesaikan dan apa tujuan dari proyek tersebut? (15 poin),Saya sedang mengembangkan sistem irigasi pintar untuk pertanian. Masalah utama yang ingin saya selesaikan adalah penggunaan air yang tidak efisien dalam irigasi. Tujuan proyek ini adalah menghemat air dengan menyiram tanaman hanya ketika diperlukan.,3.2,B
Mahasiswa 2,2,"2.	Sebutkan dan jelaskan tiga teknologi, alat, atau cara yang kamu pakai dalam capstone project ini. Kenapa kamu memilih yang tersebut? (15 poin)","Raspberry Pi, sensor kelembaban tanah, Wi-Fi. Raspberry Pi fleksibel dan dapat mengontrol perangkat keras lain dengan mudah. Sensor kelembaban untuk mendeteksi kebutuhan air. Wi-Fi untuk komunikasi data.",2.0,C
Mahasiswa 2,3,3. Jelaskan manfaat atau kegunaan hasil capstone projectmu bagi orang lain atau bidang yang kamu tekuni. (10 poin),Menghemat air dalam pertanian dan mengurangi pemborosan.,1.1,D
Mahasiswa 2,4,1.Ceritakan tahap-tahap pengerjaan capstone project dari awal sampai sekarang. Sebutkan juga hal penting atau target yang sudah kamu capai. (15 poin),"Membuat sistem otomatis menggunakan Raspberry Pi, saat ini sedang menguji sensor kelembaban.",1.1,D
Mahasiswa 2,5,"3. Apakah ada perubahan pada rencana (ingin mengubah project) atau cara pengerjaan selama proyek berjalan? Jika iya, jelaskan apa yang berubah dan bagaimana pengaruhnya ke hasil proyek. (10 poin)",Menambah aplikasi mobile untuk memantau irigasi secara real-time.,1.1,D
